10	89.15678524374172	58.90410958904112
20	82.7997364953887	58.90410958904112
40	93.83399209486166	58.90410958904112
30	83.88669301712781	58.90410958904112
60	98.5902503293808	58.90410958904112
50	97.28590250329378	58.90410958904112
80	99.40711462450598	58.90410958904112
100	99.60474308300398	58.90410958904112
70	99.03162055335974	58.90410958904112
110	99.60474308300398	58.90410958904112
120	99.73649538866931	60.213089802130916
130	99.80237154150198	64.68797564687978
90	99.57839262187092	58.90410958904112
150	100	70.27397260273968
160	100	71.82648401826484
170	100	74.03348554033485
140	100	68.47792998477932
180	100	77.24505327245052
190	100	80.8219178082192
200	100	83.15068493150686
210	100	85.25114155251141
220	100	87.39726027397259
230	100	89.04109589041094
240	100	90.86757990867584
250	100	92.80060882800606
260	100	93.68340943683407
270	100	95.84474885844745
280	100	95.89041095890404
290	100	96.68188736681886
300	100	97.15372907153726
310	100	98.12785388127858
320	100	98.1735159817352
330	100	98.1735159817352
340	100	98.4627092846271
350	100	98.63013698630132
370	100	99.19330289193304
360	100	98.81278538812786
380	100	99.54337899543376
390	100	99.54337899543376
400	100	99.54337899543376
410	100	99.54337899543376
420	100	99.96955859969559
430	100	100
440	100	100
450	100	100
460	100	100
470	100	100
480	100	100
490	100	100
500	100	100
